clip_id,source,threshold,tile_size,activation_rule,halo_tiles,total_tiles,active_tiles,partial_edge_tiles,additional_closure_tiles,pairs_at_or_above_75_percent,pairs_at_or_above_90_percent,full_pressure_pairs,active_tile_ratio,frozen_candidate_ratio,halo_inflation_ratio
c01,raw,1,16,10_percent,1,318240,216649,0,65256,83,48,3,0.6807723730517848,0.31922762694821516,1.4310371021117225
c01,raw,1,16,10_percent,2,318240,250290,0,98897,128,83,29,0.7864819004524887,0.21351809954751133,1.653246847608542
c01,raw,1,32,any,0,79560,69405,0,0,162,128,64,0.8723604826546003,0.1276395173453997,1.0
c01,raw,1,32,any,1,79560,77441,0,8036,199,180,141,0.9733660130718954,0.02663398692810459,1.1157841654059506
c01,raw,1,32,any,2,79560,79082,0,9677,204,201,169,0.9939919557566617,0.00600804424333834,1.1394279951012174
c01,raw,1,32,1_percent,0,79560,59402,0,0,111,66,35,0.7466314731020613,0.25336852689793865,1.0
c01,raw,1,32,1_percent,1,79560,73210,0,13808,177,156,77,0.9201860231271995,0.07981397687280045,1.232450085855695
c01,raw,1,32,1_percent,2,79560,77156,0,17754,196,179,126,0.9697838109602815,0.030216189039718455,1.2988788256287667
c01,raw,1,32,5_percent,0,79560,47982,0,0,60,40,3,0.6030920060331825,0.39690799396681753,1.0
c01,raw,1,32,5_percent,1,79560,64030,0,16048,129,97,41,0.8048014077425842,0.19519859225741576,1.3344587553665959
c01,raw,1,32,5_percent,2,79560,71199,0,23217,162,143,67,0.8949095022624435,0.10509049773755652,1.4838689508565712
c01,raw,1,32,10_percent,0,79560,40198,0,0,40,15,1,0.505253896430367,0.494746103569633,1.0
c01,raw,1,32,10_percent,1,79560,57206,0,17008,91,70,21,0.7190296631473102,0.2809703368526898,1.423105627145629
c01,raw,1,32,10_percent,2,79560,65787,0,25589,130,98,48,0.8268853695324283,0.1731146304675717,1.636573958903428
c01,raw,1,64,any,0,21216,20138,2652,0,188,169,123,0.9491892911010558,0.050810708898944235,1.0
c01,raw,1,64,any,1,21216,21177,2652,1039,204,204,194,0.9981617647058824,0.0018382352941176405,1.0515940013904062
c01,raw,1,64,any,2,21216,21216,2652,1078,204,204,204,1.0,0.0,1.0535306385937036
